date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2026-03-05,255000.0,240005.09,1110.91,-14994.91,-5.88%,-3.8%,216.0433
2026-03-06,255000.0,238984.28,1110.91,-16015.72,-6.28%,-4.05%,215.1244
2026-03-09,255000.0,237425.33,1110.91,-17574.67,-6.89%,-4.43%,213.7211
2026-03-10,255000.0,241306.86,1110.91,-13693.14,-5.37%,-3.43%,217.2151
2026-03-11,255000.0,241360.96,1110.91,-13639.04,-5.35%,-3.41%,217.2638
2026-03-12,255000.0,240880.49,1110.91,-14119.51,-5.54%,-3.53%,216.8313
2026-03-13,255000.0,236389.19,1110.91,-18610.81,-7.3%,-4.67%,212.7884
2026-03-16,255000.0,237078.73,1110.91,-17921.27,-7.03%,-4.47%,213.4091
2026-03-17,255000.0,239815.13,1110.91,-15184.87,-5.95%,-3.77%,215.8723
2026-03-18,255000.0,243742.65,1110.91,-11257.35,-4.41%,-2.78%,219.4077
2026-03-19,255000.0,237835.04,1110.91,-17164.96,-6.73%,-4.25%,214.0899
2026-03-20,255000.0,239825.79,1110.91,-15174.21,-5.95%,-3.75%,215.8819
2026-03-25,255000.0,242941.57,1110.91,-12058.43,-4.73%,-2.94%,218.6866
2026-03-27,255000.0,239933.66,1110.91,-15066.34,-5.91%,-3.68%,215.979
2026-03-30,255000.0,235908.94,1110.91,-19091.06,-7.49%,-4.65%,212.3561
2026-03-31,255000.0,235910.05,1110.91,-19089.95,-7.49%,-4.65%,212.3571
2026-04-01,255000.0,240804.28,1110.91,-14195.72,-5.57%,-3.43%,216.7627
2026-04-02,255000.0,240267.49,1110.91,-14732.51,-5.78%,-3.56%,216.2795
2026-04-06,255000.0,241780.33,1110.91,-13219.67,-5.18%,-3.17%,217.6413
2026-04-07,255000.0,242134.82,1110.91,-12865.18,-5.05%,-3.08%,217.9604
2026-04-08,255000.0,249500.73,1110.91,-5499.27,-2.16%,-1.3%,224.5909
